TF,context,n_mito_total,n_oxphos,n_mitoribo,n_apoptosis_pro,n_apoptosis_anti,apop_balance,apoptosis_pro_genes,apoptosis_anti_genes,n_metab_other,k,frac,hyperg_p,bh_fdr
MYBL2,BA_LE,85,18,17,0,0,0,,,50,573,0.14834205933682373,5.907202563312861e-19,3.049241704110067e-17
RBPJ,BA_LE,44,13,12,0,0,0,,,19,176,0.25,7.08932707034233e-19,3.574339788023761e-17
THAP11,BA_LE,52,8,14,0,0,0,,,30,244,0.21311475409836064,9.271908662095153e-19,4.568522268050521e-17
ZKSCAN8,AP_LE,28,21,3,0,0,0,,,4,69,0.4057971014492754,1.190991706106684e-18,5.737933375198424e-17
ELK1,BA_LE,70,14,17,1,0,1,Bak1,,38,425,0.16470588235294117,3.022059628811303e-18,1.4243098424484576e-16
FAM200B,BA_LE,29,16,6,0,0,0,,,7,77,0.37662337662337664,3.3164822554867042e-18,1.5298156446585477e-16
REPIN1,AP_LE,29,10,7,0,0,0,,,12,80,0.3625,1.128176664728005e-17,5.095597935688156e-16
KLF1,BA_LE,63,7,16,1,0,1,Bak1,,39,365,0.1726027397260274,1.4606232259882394e-17,6.462512559066333e-16
CTCF,BA_LE,76,12,15,1,0,1,Bak1,,48,509,0.14931237721021612,3.2628404370736044e-17,1.4147676135151148e-15
ALX1,BA_LE,39,10,13,0,0,0,,,16,155,0.25161290322580643,5.517434713992167e-17,2.345450678418631e-15
TIGD5,BA_LE,32,1,13,0,0,0,,,18,105,0.3047619047619048,8.28759310354711e-17,3.4552888170173335e-15
RUNX1,BA_LE,79,15,19,1,0,1,Bid,,44,552,0.1431159420289855,9.082722312321952e-17,3.7153475420969804e-15
BRF2,AP_LE,36,16,9,0,0,0,,,11,135,0.26666666666666666,1.1769921736338525e-16,4.725405615626282e-15
ZNF691,BA_LE,38,3,12,0,0,0,,,23,151,0.25165562913907286,1.3807663569010265e-16,5.4427299304753195e-15
ZNF32,AP_LE,31,20,3,0,0,0,,,8,104,0.2980769230769231,5.073764428866933e-16,1.9642716574613414e-14
SETDB1,AP_LE,66,23,12,1,0,1,Bak1,,30,431,0.1531322505800464,1.2147322894203e-15,4.6202449183565095e-14
THAP7,BA_LE,35,5,16,0,0,0,,,14,138,0.2536231884057971,1.6975314825372947e-15,6.338468383317667e-14
MTERF3,AP_LE,27,8,11,0,0,0,,,8,81,0.3333333333333333,1.7249521891870037e-15,6.338468383317667e-14
RBPJ,AP_LE,43,14,9,0,0,0,,,20,207,0.20772946859903382,2.5903702383724414e-15,9.359871127985754e-14
ZNF830,BA_LE,32,7,12,0,0,0,,,13,117,0.27350427350427353,2.667496086223976e-15,9.48054346710423e-14
POU5F1B,AP_LE,30,18,5,0,0,0,,,7,104,0.28846153846153844,4.061035407498183e-15,1.4200523812025906e-13
CENPBD1,BA_LE,24,5,6,0,0,0,,,13,65,0.36923076923076925,4.508383596019166e-15,1.551456450185643e-13
THYN1,BA_LE,31,13,9,0,0,0,,,9,114,0.2719298245614035,8.660583200517495e-15,2.9337725591753013e-13
MYC,AP_LE,75,18,17,1,0,1,Bok,,39,552,0.1358695652173913,9.554450350420657e-15,3.186776670724921e-13
NFYB,BA_LE,67,9,11,1,0,1,Bak1,,46,468,0.14316239316239315,2.147004296043161e-14,7.052583808820565e-13
NME2,BA_LE,43,10,14,0,0,0,,,19,220,0.19545454545454546,2.5184728648326755e-14,8.149327120831702e-13
TBX5,BA_LE,50,21,6,1,0,1,Bak1,,22,290,0.1724137931034483,3.568234248180696e-14,1.1376370367729043e-12
ARNT,AP_LE,36,22,3,0,0,0,,,11,160,0.225,3.711864694748976e-14,1.166278646118229e-12
STAT3,AP_LE,58,21,14,1,0,1,Bak1,,22,375,0.15466666666666667,4.393431097076142e-14,1.360708374065868e-12
ZBTB33,AP_LE,52,17,11,0,0,0,,,24,317,0.1640378548895899,8.627747861426134e-14,2.6345010371227967e-12
GATA4,BA_LE,55,16,6,0,0,0,,,33,350,0.15714285714285714,1.0343860900475384e-13,3.1146514489209214e-12
MESP1,BA_LE,30,17,4,0,0,0,,,9,120,0.25,2.6642324460924557e-13,7.912405401545814e-12
TEAD4,AP_LE,58,15,12,1,0,1,Bok,,30,391,0.1483375959079284,2.75212306815042e-13,8.062976772635286e-12
MESP1,AP_LE,24,19,1,0,0,0,,,4,78,0.3076923076923077,4.729190626422057e-13,1.3670513704110694e-11
