human_symbol,mouse_symbol,human_ensembl,mouse_ensembl,effect,pathway,is_core,is_mitochondrial,sources,in_GO,in_KEGG,in_Reactome,in_Hallmark,confidence,evidence_score,original_category,family_pathway,modality
RNF122,Rnf122,ENSG00000133874,ENSMUSG00000039328,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RNF183,Rnf183,ENSG00000165188,ENSMUSG00000063851,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RNPS1,Rnps1,ENSG00000205937,ENSMUSG00000034681,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
ROBO1,Robo1,ENSG00000169855,ENSMUSG00000022883,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RPL26,Rpl26,ENSG00000161970,ENSMUSG00000060938,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RPS27L,Rps27l,ENSG00000185088,ENSMUSG00000036781,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RPS3,Rps3,ENSG00000149273,ENSMUSG00000030744,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RPS6,Rps6,ENSG00000137154,ENSMUSG00000028495,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RPS6KA2,Rps6ka2,ENSG00000071242,ENSMUSG00000023809,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RPS7,Rps7,ENSG00000171863,ENSMUSG00000061477,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RRP1B,Rrp1b,ENSG00000160208,ENSMUSG00000058392,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RTL10,NA,ENSG00000215012,NA,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
RYBP,"Rybp,Rybp-ps",ENSG00000163602,NA,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
S100A8,S100a8,ENSG00000143546,ENSMUSG00000056054,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
S100A9,S100a9,ENSG00000163220,ENSMUSG00000056071,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
SAP18,"Sap18,Sap18b",ENSG00000150459,NA,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
SATB1,Satb1,ENSG00000182568,ENSMUSG00000023927,pro-death,apoptosis,FALSE,FALSE,"Hallmark,Reactome",FALSE,FALSE,TRUE,TRUE,LIKELY,1,Unspecified,NA,NA
SC5D,Sc5d,ENSG00000109929,ENSMUSG00000032018,pro-death,apoptosis,FALSE,FALSE,Hallmark,FALSE,FALSE,FALSE,TRUE,HIGH_CONFIDENCE,2,Unspecified,NA,NA
SCIN,Scin,ENSG00000006747,ENSMUSG00000002565,pro-death,apoptosis,FALSE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,NA
